failure,smart_1_raw,smart_5_raw,smart_9_raw,smart_194_raw,smart_197_raw
0,0,1,4199,28,0
1,0,0,11335,29,0
0,22162008,0,9644,21,0
1,65457539,0,27608,22,0
0,0,0,17806,27,0
0,0,0,17614,26,0
0,0,1,3118,26,3
1,193828592,0,7634,21,0
0,6213168,0,8204,25,0
0,0,16,11332,30,0
0,28586343,0,25751,23,0
1,105509216,0,11336,24,0
1,177511955,2,32942,30,0
1,0,0,18718,28,0
0,226502829,0,20611,17,0
1,589826,0,11311,28,0
1,131072,0,21506,34,0
0,0,0,16090,32,0
0,0,0,16090,31,0
0,0,0,11660,27,0
0,0,0,16090,29,0
1,158508824,0,8161,29,0
0,100802869,0,30733,19,0
0,0,0,19206,34,0
1,131076,0,16090,29,0
1,0,0,18392,36,0
1,33615640,0,28453,27,0
1,0,0,1756,25,0
1,0,0,14098,26,0
0,201139168,0,2456,23,0
1,9181066,0,29514,28,0
1,0,0,16643,25,0
1,119528712,0,5019,27,0
0,0,0,1706,26,0
0,0,0,16090,28,0
1,60862239,0,27087,17,0
0,208889768,0,9517,20,0
0,59678811,4,16985,21,0
1,2768608,0,9636,30,0
1,0,0,20785,24,0
1,105385696,0,5312,27,0
1,0,0,16090,29,0
1,88494133,18,34090,29,0
0,141173368,0,5980,20,0
0,0,0,16089,28,0
1,0,0,19417,23,0
1,177983873,0,9898,27,0
0,110972024,0,6317,28,0
0,64369008,40,4832,26,0
0,0,0,16089,29,0
0,0,0,18117,26,0
0,0,0,942,28,0
1,88527232,0,5105,26,0
1,217235248,0,2311,26,0
0,0,0,18405,34,0
1,0,0,19275,35,0
0,0,0,11299,30,0
1,162637744,0,6466,27,0
1,0,0,24547,26,0
0,169481696,0,2315,25,0
1,0,0,16089,31,0
0,2,0,16089,28,0
0,0,0,19875,27,0
0,0,48,21222,27,0
0,0,0,16089,30,0
1,0,0,231,28,0
1,0,0,16089,27,0
1,243971440,0,6690,26,0
1,0,0,245,29,0
0,0,0,15754,31,0
1,1254840,0,2499,28,0
1,181440787,0,11337,26,0
0,137348760,0,5912,25,0
1,46780405,0,9508,26,0
0,82469361,0,24665,24,0
1,120204921,0,28145,19,0
0,0,0,18759,25,0
1,27164760,0,1302,20,0
0,0,0,16089,29,0
1,0,0,866,27,0
1,0,0,16089,27,0
0,0,0,16089,28,0
1,0,0,17838,28,0
1,0,0,16089,28,0
0,65540,0,21056,30,0
1,0,0,12047,28,0
1,0,0,17418,25,0
1,242235576,0,6449,22,0
1,0,0,16089,31,0
0,0,0,16089,26,0
1,0,0,16089,27,0
0,183298184,0,9644,25,0
1,86362336,0,4692,26,0
1,0,0,17880,26,0
1,0,0,9025,25,0
1,108446376,10,25999,25,0
1,0,359,11300,30,0
0,0,0,19826,28,0
1,202114016,0,9017,28,0
1,0,0,16089,30,0
0,0,0,21223,27,0
0,0,0,16089,31,0
0,0,0,16089,30,0
0,0,0,12326,26,0
1,0,0,21513,28,0
0,8,0,32530,31,0
1,0,0,16089,27,0
1,458757,0,18117,26,0
1,4610841,0,29315,21,0
0,229245075,0,30677,21,0
0,0,0,16089,32,0
0,0,0,16089,30,0
1,0,0,16089,26,0
0,0,0,16089,30,0
1,0,0,16643,28,0
0,47703744,0,6539,20,0
0,86121696,0,30924,27,0
0,55933505,0,30030,21,0
0,102750344,0,6713,27,0
0,0,0,16089,30,0
1,227759101,0,31222,26,0
1,174323408,0,9020,31,0
1,0,0,16089,31,0
0,1,0,18242,30,0
0,1,0,16089,31,0
0,0,0,18597,27,0
1,0,0,12067,26,0
1,90240977,170,27629,22,0
0,65537,0,16089,30,0
0,0,0,18720,29,0
1,168304152,0,30734,20,0
1,7642625,0,25564,27,0
0,99062629,0,28453,23,0
1,0,0,16089,30,0
1,0,0,21897,29,0
1,81573304,0,6465,23,0
1,0,0,1684,26,0
1,240477336,0,5020,29,0
1,240006128,0,6316,28,0
1,6838048,0,4785,27,0
0,0,0,16089,29,0
1,129042117,0,30924,26,0
1,0,0,18759,22,0
1,0,0,18124,27,0
1,0,0,16089,28,0
0,188158248,0,7652,21,8
1,0,0,16995,33,0
0,12125880,0,7639,25,0
1,0,0,16089,29,0
0,2,0,22115,33,0
1,65536,0,17394,26,0
1,4,0,6600,30,0
1,0,0,16089,29,0
0,5,0,35780,29,0
0,131252072,0,7638,24,0
0,142295496,0,8065,28,0
1,0,0,16089,30,0
0,33863312,0,2623,22,0
1,0,0,21513,27,0
0,0,0,18405,34,0
0,188810542,0,17487,18,0
0,0,0,16089,28,0
0,27529744,0,5315,28,0
0,0,0,16089,31,0
1,0,0,16089,33,0
0,180616424,0,9516,23,0
1,0,0,17873,22,0
0,0,0,249,26,0
1,0,0,23140,28,0
1,201895963,506,30041,22,0
1,0,0,16089,29,0
0,83886512,0,1656,30,0
1,10788336,0,2497,23,0
0,2,0,18596,25,0
0,99625208,0,9021,32,0
1,19814119,0,29453,25,0
1,0,0,16710,27,0
1,0,0,18786,25,0
0,193454705,0,29040,25,0
0,151265900,1,29813,31,0
1,119220264,0,7652,22,0
1,10050552,0,5334,23,0
0,0,0,16089,31,0
0,0,0,16089,30,0
1,0,0,19414,26,0
0,0,0,917,24,0
1,0,0,16089,27,0
1,0,0,21456,28,0
1,0,0,16089,31,0
1,0,0,15029,29,0
0,184171162,0,10211,29,0
0,0,0,15029,30,0
0,0,0,11311,28,0
0,4,0,35792,28,0
1,0,0,10127,26,91
1,0,0,18405,31,0
0,138051792,0,2315,26,0
0,0,0,15029,29,0
1,18354168,0,12373,28,0
0,227789256,0,5051,30,0
0,0,0,11300,27,0
0,131321568,0,10495,26,0
0,0,0,1760,26,0
1,0,0,11311,27,0
1,0,0,15028,30,0
1,0,0,16997,31,0
1,0,0,18918,28,0
0,29347368,0,9023,25,0
0,0,0,15028,27,0
1,178365208,0,7638,23,0
0,141930028,0,9508,21,0
1,18904352,0,8033,22,0
1,0,0,934,30,0
0,0,0,19875,28,0
1,0,0,18597,27,0
0,207562944,0,5932,23,0
1,95604984,0,9941,28,0
1,131075,1,24794,25,0
0,0,0,15028,28,0
0,0,0,19420,25,0
1,154493112,0,5034,26,0
1,0,0,914,28,0
0,0,0,11658,28,0
0,0,0,35429,30,0
1,0,0,15028,27,0
0,0,0,938,27,0
0,202597474,0,31570,21,0
0,105496057,0,17320,19,0
0,0,0,18285,30,0
0,124374296,0,10442,28,0
1,0,0,15028,29,0
0,0,0,15028,28,0
1,18,0,34918,30,0
0,224501056,0,2475,27,0
0,4775792,0,9692,27,0
0,226926635,0,8562,30,0
0,0,0,15028,31,0
1,0,0,15028,29,0
1,0,0,18835,28,0
0,8,0,37135,29,0
0,0,0,15028,30,0
0,204264296,0,8913,20,0
1,0,0,15028,28,0
1,0,0,15822,30,0
0,130423936,0,6047,28,0
0,44042687,0,31568,22,0
0,0,0,15028,30,0
1,194539352,0,4785,28,0
1,156257384,0,7652,24,0
1,2748672,0,8033,20,0
1,1,0,15028,28,0
0,0,0,14913,26,0
1,0,0,17394,22,0
1,0,0,15028,29,0
0,0,0,21781,32,0
0,0,0,20317,26,0
0,171429952,0,6468,19,0
0,123619187,0,34369,32,0
1,233941288,0,5012,27,0
0,0,0,15028,30,0
0,0,0,15028,29,0
1,0,0,1702,27,0
1,0,0,37662,21,0
1,193465176,0,5978,22,0
0,0,0,19875,25,0
0,0,0,16982,25,0
0,0,0,15028,30,0
0,203675280,0,5965,31,0
0,105430880,0,2436,27,0
0,0,0,17929,27,0
0,49272192,0,9912,26,0
1,217089632,0,6465,29,0
1,0,0,7292,29,0
1,128941288,0,7633,22,0
1,0,0,15028,31,0
1,0,0,19206,31,0
0,0,0,22979,26,0
1,64427233,48,34694,26,0
0,243512526,0,31237,26,0
0,206107800,0,8204,24,0
1,33308880,0,9556,29,0
1,11522096,0,5030,27,0
0,0,0,15028,28,0
1,43784150,0,30032,21,0
0,0,0,17783,26,0
1,0,0,15028,28,0
1,0,0,20438,32,0
1,0,0,20318,30,0
1,0,0,19276,31,0
0,28871536,0,6713,23,0
1,138836496,0,2315,27,0
1,0,0,223,29,0
0,0,0,20302,25,0
1,149966587,0,28482,24,0
1,0,0,23310,30,0
1,103335624,0,8114,21,0
0,0,0,15028,27,0
0,0,0,15028,30,0
1,0,0,15028,26,0
0,0,0,6828,22,0
0,0,0,15028,29,0
0,0,0,15028,27,0
1,21933032,0,6465,27,0
1,43336461,0,1446,26,0
1,0,0,15028,29,0
0,56934240,0,2279,26,0
0,1,0,35736,32,0
0,0,0,1685,21,0
1,197684166,10,27887,21,0
0,0,0,230,25,0
1,0,0,1685,27,0
0,28877712,0,5334,25,0
0,131160912,0,4832,22,0
0,211663272,0,6713,25,0
0,207436500,44,29807,30,0
0,0,0,20317,28,0
0,235811272,0,8206,22,0
0,159448376,0,5012,29,0
0,136256472,0,2476,31,0
0,0,0,1518,30,0
1,0,0,11931,25,0
1,53692608,9,34361,28,0
1,0,0,22154,27,0
0,36429658,0,5366,25,0
1,0,0,15028,28,0
0,204707534,8,34694,28,0
0,0,0,1702,24,0
0,0,0,11311,26,0
0,0,0,18772,25,0
1,150005248,0,5035,23,0
0,218614256,0,8179,28,0
1,1,0,21066,29,0
1,139467400,0,3536,20,0
0,209297817,0,27624,21,0
0,0,0,15028,29,0
0,0,0,16594,28,0
0,0,0,15028,29,0
0,0,0,18392,31,0
1,0,0,15028,27,0
1,0,0,1735,27,0
0,0,0,248,26,0
1,0,0,17783,22,0
0,12259758,0,26538,28,0
0,156288103,0,23158,20,0
1,0,0,11334,24,0
1,0,0,1760,25,0
1,18545024,0,2865,19,0
1,0,0,19263,32,0
0,209951432,0,10211,23,0
0,0,0,17873,27,0
0,0,0,1302,27,0
1,0,0,248,26,0
1,0,0,10421,30,0
1,96544416,0,7171,21,0
1,0,0,15754,26,0
1,160707362,0,25242,29,0
0,236372776,0,2937,23,0
1,54038272,0,8169,28,0
0,203024880,0,6323,24,0
1,0,0,15028,29,0
0,137224400,0,1537,19,0
0,0,0,15028,29,0
1,65537,0,23142,31,0
0,0,0,1702,27,0
0,0,0,15028,27,0
0,0,0,15028,29,0
0,0,0,222,29,0
1,0,0,1702,28,0
0,0,0,15028,29,0
0,0,0,15754,31,0
0,153969240,0,2279,23,0
0,0,0,16088,32,0
0,0,0,15028,29,0
