failure,smart_1_raw,smart_5_raw,smart_9_raw,smart_194_raw,smart_197_raw
0,125751683,505,33282,30,0
0,0,0,12388,29,0
0,0,0,14112,30,0
0,0,0,3818,26,0
0,0,0,15073,28,0
0,0,0,21878,31,0
0,144483715,0,1566,23,0
0,458754,2,24007,23,0
0,0,0,2954,30,0
0,0,0,34704,30,0
0,0,0,296,24,0
0,2,0,18807,25,0
0,0,0,15073,24,0
0,208994560,0,7217,27,0
0,0,0,18644,22,0
0,139899480,0,8113,29,0
0,1908792,0,9070,25,0
0,199825600,0,6958,22,0
0,0,0,3809,28,0
0,393354,117,17918,26,3
0,17967288,0,5054,25,0
0,123861886,0,30724,21,0
0,227772792,0,6739,27,0
0,0,0,9019,24,0
0,64017096,0,6757,24,0
0,0,0,8965,25,0
0,123727904,0,9053,28,0
0,91964128,0,1355,24,0
0,6357088,0,34919,28,0
0,0,0,3809,28,0
0,0,0,1809,24,0
0,0,0,983,27,0
0,0,0,18802,23,0
0,0,0,1808,26,0
0,0,0,3480,26,0
0,160196672,0,5949,27,0
0,0,0,18291,30,0
0,204283887,0,26046,17,0
0,70927504,0,3226,25,0
0,0,0,21102,27,0
0,48422496,0,9050,27,0
0,0,0,17466,28,0
0,0,0,2952,25,0
0,0,0,21510,23,0
0,0,0,19874,32,0
0,0,0,20366,31,0
0,0,0,8961,23,0
0,65536,0,20486,32,0
0,1002480,0,5099,24,0
0,0,0,418,25,0
0,25571200,0,2985,27,0
0,1,0,18841,26,0
0,0,0,11329,28,4
0,0,0,5101,28,0
0,0,0,22212,30,0
0,0,0,17045,33,0
0,0,0,9073,24,0
0,0,0,15802,25,0
0,0,0,7307,23,0
0,0,0,2884,27,0
0,0,0,8933,27,0
0,0,0,1804,27,0
0,0,0,2091,28,0
0,94692584,0,2326,25,0
0,0,0,12659,26,0
0,0,0,4275,31,0
0,140948794,0,30088,22,0
0,77628808,0,1730,30,0
0,136357536,0,9068,33,0
0,0,0,2311,24,0
0,23098556,0,30399,19,0
0,124545556,0,1468,32,0
0,0,0,17661,22,0
0,0,0,11002,29,0
0,0,0,17661,25,0
0,0,0,21104,32,0
0,0,0,4013,28,0
0,169904456,0,7709,26,0
0,0,0,4247,27,0
0,164964528,0,7699,23,0
0,231576664,0,4806,25,0
0,57014296,0,6761,21,0
0,0,0,4335,29,0
0,93681088,0,8546,23,0
0,0,0,3863,29,0
0,3,0,36295,33,0
0,170000814,0,11581,27,0
0,0,0,13663,30,0
0,4197960,0,5980,20,0
0,0,0,8631,30,0
0,135504837,0,11581,24,0
0,0,0,3218,27,0
0,0,0,4248,31,0
0,54000624,0,6013,30,0
0,12613544,0,2327,26,0
0,167660343,0,24954,28,0
0,0,0,17418,24,0
0,164911736,0,8251,25,0
0,0,0,14111,29,0
0,0,0,964,28,0
0,155851933,0,10259,26,0
0,44105128,0,6699,24,8
0,131072,0,20820,26,0
0,48918744,0,7685,23,0
0,0,0,22212,30,0
0,0,0,8914,26,0
0,0,0,8626,27,0
0,0,0,11383,23,0
0,243133024,0,8080,22,0
0,0,0,12944,31,0
0,0,0,2549,26,0
0,16871944,0,9051,25,0
0,139254331,0,30757,19,0
0,0,0,18736,26,0
0,0,0,15076,31,0
0,0,2,17045,34,0
0,98645723,0,12092,24,0
0,0,0,19310,35,0
0,0,0,14108,30,0
0,0,0,13292,24,0
0,168341071,0,29564,20,0
0,0,34,18842,22,0
0,0,0,962,24,0
0,68899584,0,7699,22,0
0,0,0,4108,23,0
0,0,0,17438,27,0
0,0,0,19881,30,0
0,190673991,0,28184,22,0
0,78540904,0,9332,23,0
0,54926552,0,9532,22,0
0,4,0,35306,26,0
0,0,0,8626,23,0
0,149388984,0,9069,30,0
0,0,0,21100,32,0
0,0,0,18163,29,0
0,0,0,21104,30,0
0,2,1,9804,22,0
0,0,0,3503,23,0
0,0,0,11347,30,0
0,93567386,0,30081,25,0
0,0,0,4310,25,0
0,0,0,24596,22,0
0,0,0,1947,27,0
0,75065488,0,1354,24,0
0,7828272,0,9583,27,0
0,139229953,0,30398,17,0
0,224436432,0,5360,29,0
0,0,0,985,27,0
0,0,0,12402,22,0
0,0,0,8631,27,0
0,8292552,0,8132,24,0
0,0,0,17854,23,0
0,45635491,0,30721,23,0
0,9,0,35020,27,0
0,0,0,15797,28,0
0,36436080,0,9071,21,0
0,0,0,3888,24,0
0,49173513,5,32820,32,0
0,0,0,4013,24,0
0,0,0,18802,25,0
0,0,0,11001,25,0
0,190420344,0,6761,32,0
0,219032024,0,8568,25,0
0,0,0,2952,28,0
0,0,0,10440,26,0
0,3,0,34992,21,0
0,0,0,17042,30,0
0,0,0,12385,26,0
0,236783848,0,8160,28,0
0,0,0,11708,26,0
0,0,0,2943,30,0
0,0,0,13595,28,0
0,55338027,0,7238,19,0
0,0,0,14988,28,0
0,93503320,0,8159,29,0
0,0,0,18163,30,0
0,54892464,0,9585,21,0
0,2,0,23551,27,0
0,0,0,1947,25,0
0,153028628,0,10259,26,0
0,223656017,0,11094,27,0
0,38941680,0,5978,23,0
0,165470984,0,2328,27,0
0,63714200,0,6519,29,0
0,0,0,9020,29,0
0,0,0,18453,33,0
0,233874312,0,5960,27,0
0,11,0,35521,27,0
0,0,0,4067,31,0
0,0,0,4335,26,0
0,21035493,95,31491,22,5
0,21597225,0,28530,24,0
0,0,0,12702,23,0
0,0,0,9020,28,0
0,0,0,17661,27,0
0,0,0,3008,29,0
0,0,0,35296,29,0
